序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接,产业链环节,角色
20,300395,菲利华,菲利华2024年半年度报告点评：半导体稳步增长，研发投入持续加大,买入,国元证券,0,1.83,17.15,,,,,航空装备Ⅱ,2024-09-03,https://pdf.dfcfw.com/pdf/H3_AP202409031639703749_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
25,600183,生益科技,2024半年报业绩点评：24H1业绩快增，盈利能力提升,买入,东莞证券,0,1.16,14.98,,,,,元件,2024-08-30,https://pdf.dfcfw.com/pdf/H3_AP202408301639615537_1.pdf,核心CCL,龙头
26,600183,生益科技,Solid 1H24 earnings; high copper price to have modest impact in near term,买入,招银国际,0,,,,,,,元件,2024-08-29,https://pdf.dfcfw.com/pdf/H3_AP202408291639543544_1.pdf,核心CCL,龙头
27,600183,生益科技,2024年半年报点评：PCB下游需求回暖，公司业绩实现高增,买入,民生证券,0,0.99,18.0,,,,,元件,2024-08-28,https://pdf.dfcfw.com/pdf/H3_AP202408281639514588_1.pdf,核心CCL,龙头
55,600176,中国巨石,玻纤龙头经营稳定抗风险能力强,买入,东兴证券,0,0.91,10.89,,,,,玻璃玻纤,2024-08-27,https://pdf.dfcfw.com/pdf/H3_AP202408271639471375_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
10,601208,东材科技,Q2业绩环比大幅改善，电子材料规划稳步推进,买入,华安证券,0,0.72,8.65,,,,,塑料制品,2024-08-27,https://pdf.dfcfw.com/pdf/H3_AP202408271639475309_1.pdf,电子树脂（特种树脂）,主要参与者
56,600176,中国巨石,2024年中报点评：复价增量，Q2盈利能力环比修复,增持,国信证券,0,0.91,11.3,,,,,玻璃玻纤,2024-08-26,https://pdf.dfcfw.com/pdf/H3_AP202408261639451572_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
57,600176,中国巨石,2024年中报点评：Q2业绩环比修复，新产能落地有望强化公司龙头地位,买入,东吴证券,0,1.12,9.16,,,,,玻璃玻纤,2024-08-24,https://pdf.dfcfw.com/pdf/H3_AP202408241639439411_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
21,300395,菲利华,2024年中报点评：深耕石英玻璃领域，半导体板块稳步增长,买入,东吴证券,0,1.68,17.31,,,,,航空装备Ⅱ,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639436717_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
22,300395,菲利华,2024年半年报点评：1H24业绩短期承压；静待需求拐点出现,买入,民生证券,0,1.59,18.0,,,,,航空装备Ⅱ,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639419890_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
23,300395,菲利华,半导体板块稳定增长，航空航天订单有望恢复,买入,中邮证券,0,2.14,13.6,,,,,航空装备Ⅱ,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639417977_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
14,002080,中材科技,2024年半年报点评：Q2玻纤复价、底部盈利保持韧性，叶片+锂膜板块利润承压,买入,民生证券,0,1.05,9.0,,,,,玻璃玻纤,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639434844_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
58,600176,中国巨石,2024年半年报点评：提价效果明显，Q2盈利能力环比修复,买入,民生证券,0,0.86,12.0,,,,,玻璃玻纤,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639427491_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
30,605589,圣泉集团,2024年半年报点评：主要产品销量稳步增长，生物质项目技改成效明显,买入,民生证券,0,1.88,9.0,,,,,塑料,2024-08-23,https://pdf.dfcfw.com/pdf/H3_AP202408231639435686_1.pdf,电子树脂（特种树脂）,主要参与者
11,601208,东材科技,公司信息更新报告：Q2产销量增长助力业绩环比改善，拟投资20000吨高速通信基板用电子材料项目,买入,开源证券,0,0.87,7.2,,,,,塑料,2024-08-22,https://pdf.dfcfw.com/pdf/H3_AP202408221639395278_1.pdf,电子树脂（特种树脂）,主要参与者
12,601208,东材科技,2季度出现盈利拐点，看好后续成长,买入,国金证券,0,0.733,8.53,,,,,塑料,2024-08-22,https://pdf.dfcfw.com/pdf/H3_AP202408221639391317_1.pdf,电子树脂（特种树脂）,主要参与者
28,600183,生益科技,深度报告：周期与成长共振，24年业绩值得期待,买入,东莞证券,0,1.19,19.86,,,,,元件,2024-07-17,https://pdf.dfcfw.com/pdf/H3_AP202407171638002704_1.pdf,核心CCL,龙头
5,603256,宏和科技,电子布价格企稳回升，弹性值得期待,增持,中银证券,0,0.1,71.8,,,,,玻璃玻纤,2024-05-28,https://pdf.dfcfw.com/pdf/H3_AP202405281634744411_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
24,300395,菲利华,市场需求短期承压，业务布局加快拓展,买入,中邮证券,0,1.84,17.12,,,,,航空装备Ⅱ,2024-05-22,https://pdf.dfcfw.com/pdf/H3_AP202405221634322570_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
2,688388,嘉元科技,出货量同比增长，加工费下降盈利承压,增持,中银证券,0,0.9,17.2,,,,,电池,2024-05-07,https://pdf.dfcfw.com/pdf/H3_AP202405071632543070_1.pdf,电子铜箔,主要参与者
2,300243,瑞丰高材,主营业务稳定，业绩增长空间大,买入,西南证券,0,2.05,5.47,,,,,塑料,2024-05-03,https://pdf.dfcfw.com/pdf/H3_AP202405031632341164_1.pdf,电子树脂（特种树脂）,主要参与者
59,600176,中国巨石,一季报点评：周期底部明确，涨价落地情况超预期,买入,华安证券,0,1.05,11.38,,,,,玻璃玻纤,2024-04-30,https://pdf.dfcfw.com/pdf/H3_AP202404301632034670_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
60,600176,中国巨石,2024年一季报点评：业绩底部明确，行业复价下公司盈利有望修复,买入,东吴证券,0,1.12,10.6,,,,,玻璃玻纤,2024-04-29,https://pdf.dfcfw.com/pdf/H3_AP202404291631555587_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
29,600183,生益科技,公司信息更新报告：产品结构优化提振业绩，CCL有望开启上行周期,买入,开源证券,0,1.02,18.1,,,,,元件,2024-04-29,https://pdf.dfcfw.com/pdf/H3_AP202404291631584410_1.pdf,核心CCL,龙头
25,300395,菲利华,2023年年报及2024年一季报点评：4Q23营收同比增长34%；12个高性能结构件研发成功,买入,民生证券,0,1.93,14.0,,,,,航空装备Ⅱ,2024-04-28,https://pdf.dfcfw.com/pdf/H3_AP202404271631503056_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
26,300395,菲利华,2023年年报点评：石英玻璃乘政策东风，全面深度布局,买入,东吴证券,0,1.68,15.75,,,,,航空装备Ⅱ,2024-04-26,https://pdf.dfcfw.com/pdf/H3_AP202404261631430651_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
61,600176,中国巨石,2024年一季报点评：Q1底部拐点明确，期待盈利能力逐季修复,买入,民生证券,0,1.16,10.0,,,,,玻璃玻纤,2024-04-26,https://pdf.dfcfw.com/pdf/H3_AP202404261631391792_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
31,605589,圣泉集团,2023年年报点评：业绩稳中有进，业务三线发力,买入,民生证券,0,2.01,10.0,,,,,塑料,2024-04-20,https://pdf.dfcfw.com/pdf/H3_AP202404201630810440_1.pdf,电子树脂（特种树脂）,主要参与者
13,601208,东材科技,23年业绩短期承压，光学膜及树脂项目有序推进,买入,华安证券,0,0.79,10.77,,,,,塑料,2024-04-16,https://pdf.dfcfw.com/pdf/H3_AP202404161630273653_1.pdf,电子树脂（特种树脂）,主要参与者
15,002080,中材科技,2023年年报点评：优化结构改善盈利，利润同比仍有承压,买入,国信证券,0,2.1,7.3,,,,,玻璃玻纤,2024-04-15,https://pdf.dfcfw.com/pdf/H3_AP202404151630223049_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
14,601208,东材科技,公司信息更新报告：2023年盈利承压，看好新产能释放和产品结构优化,买入,开源证券,0,0.85,10.4,,,,,塑料,2024-04-15,https://pdf.dfcfw.com/pdf/H3_AP202404151630210215_1.pdf,电子树脂（特种树脂）,主要参与者
15,601208,东材科技,短期业绩承压 看好后续修复和成长,买入,国金证券,0,0.85,10.42,,,,,塑料,2024-04-14,https://pdf.dfcfw.com/pdf/H3_AP202404141630208303_1.pdf,电子树脂（特种树脂）,主要参与者
16,002080,中材科技,中材科技行业景气度下滑，公司内生增长动力较强,买入,中银证券,0,2.2,7.2,,,,,玻璃玻纤,2024-04-12,https://pdf.dfcfw.com/pdf/H3_AP202404121630179506_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
62,600176,中国巨石,全年业绩短期承压，底部涨价盈利待修复,增持,华安证券,0,1.01,10.64,,,,,玻璃玻纤,2024-04-11,https://pdf.dfcfw.com/pdf/H3_AP202404111630141814_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
30,600183,生益科技,公司信息更新报告：2023年短期业绩承压，AI新品提供强劲成长动力,买入,开源证券,0,1.03,16.8,,,,,元件,2024-04-01,https://pdf.dfcfw.com/pdf/H3_AP202404011629194746_1.pdf,核心CCL,龙头
63,600176,中国巨石,供需仍偏弱，拐点需等待,买入,中银证券,0,0.9,10.9,,,,,玻璃玻纤,2024-03-25,https://pdf.dfcfw.com/pdf/H3_AP202403251628070147_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
64,600176,中国巨石,行业景气持续探底，销量逆势增长巩固龙头优势,买入,国信证券,0,1.02,9.8,,,,,玻璃玻纤,2024-03-22,https://pdf.dfcfw.com/pdf/H3_AP202403221627605351_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
65,600176,中国巨石,2023年年报点评：行业底部明确，盈利改善可期,买入,东吴证券,0,1.02,9.65,,,,,玻璃玻纤,2024-03-21,https://pdf.dfcfw.com/pdf/H3_AP202403211627437754_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
66,600176,中国巨石,2023年年报点评：粗纱价格企稳趋势渐显，期待电子布价格弹性,买入,民生证券,0,0.91,11.0,,,,,玻璃玻纤,2024-03-20,https://pdf.dfcfw.com/pdf/H3_AP202403201627331115_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
31,600183,生益科技,FY23 preliminary results review; expect gradual recovery in 2024,买入,招银国际,0,,,,,,,元件,2024-02-29,https://pdf.dfcfw.com/pdf/H3_AP202402291624105631_1.pdf,核心CCL,龙头
27,300395,菲利华,事件点评：质量回报双提升；石英龙头在践行,买入,民生证券,0,,,,,,,航空装备Ⅱ,2024-02-29,https://pdf.dfcfw.com/pdf/H3_AP202402291624317779_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
67,600176,中国巨石,玻纤龙头行业底部孕育新变化,买入,东兴证券,0,,,,,,,玻璃玻纤,2024-01-31,https://pdf.dfcfw.com/pdf/H3_AP202401311619781672_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
68,600176,中国巨石,2023年业绩预告点评：玻纤价格继续探底，产品结构优势部分对冲,买入,民生证券,0,,,,,,,玻璃玻纤,2024-01-28,https://pdf.dfcfw.com/pdf/H3_AP202401281619246500_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
32,600183,生益科技,高速CCL通过北美大客户验证，公司AI和通用服务器业务将迎来高增长,买入,西南证券,0,,,,,,,元件,2024-01-12,https://pdf.dfcfw.com/pdf/H3_AP202401121617315642_1.pdf,核心CCL,龙头
8,301526,国际复材,国际复材IPO投价：布局玻纤原纱与制品，兼具周期与成长,,开源证券,0,,,,,,,玻璃玻纤,2023-12-22,https://pdf.dfcfw.com/pdf/H3_AP202312221614817157_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
33,600183,生益科技,Expect Shengyi to enter Nvidia supply chain in 2024,买入,招银国际,0,,,,,,,元件,2023-12-15,https://pdf.dfcfw.com/pdf/H3_AP202312151614272112_1.pdf,核心CCL,龙头
16,601208,东材科技,国内光学基膜龙头，加速布局中高端材料,买入,华安证券,0,,,,,,,塑料,2023-12-11,https://pdf.dfcfw.com/pdf/H3_AP202312111613711742_1.pdf,电子树脂（特种树脂）,主要参与者
9,301526,国际复材,新股覆盖研究：国际复材,,华金证券,0,,,,,,,玻璃玻纤,2023-12-08,https://pdf.dfcfw.com/pdf/H3_AP202312081613631117_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
32,605589,圣泉集团,动态报告：生物质项目渐入佳境，开启发展新空间,买入,民生证券,0,,,,,,,塑料,2023-12-07,https://pdf.dfcfw.com/pdf/H3_AP202312071613559847_1.pdf,电子树脂（特种树脂）,主要参与者
17,601208,东材科技,“1+3”平台型新材料企业，期待系列产品景气复苏,买入,国信证券,0,,,,,,,塑料,2023-11-22,https://pdf.dfcfw.com/pdf/H3_AP202311221611840554_1.pdf,电子树脂（特种树脂）,主要参与者
34,600183,生益科技,公司信息更新报告：2023Q3业绩环比大幅改善，静待行业周期反转,买入,开源证券,0,,,,,,,元件,2023-11-14,https://pdf.dfcfw.com/pdf/H3_AP202311141610706650_1.pdf,核心CCL,龙头
28,300395,菲利华,公司深度研究报告：产业链纵向延伸彰显实力，多方向布局构建盈利护城河,买入,国元证券,0,,,,,,,航空装备Ⅱ,2023-11-08,https://pdf.dfcfw.com/pdf/H3_AP202311081609285663_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
35,600183,生益科技,事件点评：大股东增持股份，彰显对公司后续成长信心,买入,民生证券,0,,,,,,,元件,2023-11-05,https://pdf.dfcfw.com/pdf/H3_AP202311051609022467_1.pdf,核心CCL,龙头
6,603256,宏和科技,销量显著增长，价格低位下盈利仍承压,增持,中银证券,0,,,,,,,玻璃玻纤,2023-11-02,https://pdf.dfcfw.com/pdf/H3_AP202311021607911445_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
7,301217,铜冠铜箔,加工费下行业绩承压，高端铜箔持续领先,增持,华安证券,0,,,,,,,电池,2023-11-01,https://pdf.dfcfw.com/pdf/H3_AP202311011607635621_1.pdf,电子铜箔,国内龙头
2,300586,美联新材,淡季需求走弱主业承压，普鲁士蓝钠电订单落地静待业绩兑现,买入,华安证券,0,,,,,,,塑料,2023-11-01,https://pdf.dfcfw.com/pdf/H3_AP202311011607634510_1.pdf,电子树脂（特种树脂）,碳氢树脂参与者
29,300395,菲利华,业绩稳健增长，研发投入加大蓄势待发,买入,中邮证券,0,,,,,,,航空装备Ⅱ,2023-10-31,https://pdf.dfcfw.com/pdf/H3_AP202310311606821693_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
17,002080,中材科技,玻纤、叶片行业景气度下滑，2023Q3业绩承压,买入,中银证券,0,,,,,,,玻璃玻纤,2023-10-30,https://pdf.dfcfw.com/pdf/H3_AP202310301605660102_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
33,605589,圣泉集团,2023年三季报点评：业绩稳健，酚醛树脂和电子化学品销量大增,买入,民生证券,0,,,,,,,塑料,2023-10-29,https://pdf.dfcfw.com/pdf/H3_AP202310271605352884_1.pdf,电子树脂（特种树脂）,主要参与者
30,300395,菲利华,2023年三季报点评：营收持续稳定增长，未来业务积极布局扩大想象空间,买入,东吴证券,0,,,,,,,航空装备Ⅱ,2023-10-27,https://pdf.dfcfw.com/pdf/H3_AP202310271605166596_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
69,600176,中国巨石,玻纤行业景气下滑，2023Q3业绩延续承压,买入,中银证券,0,,,,,,,玻璃玻纤,2023-10-25,https://pdf.dfcfw.com/pdf/H3_AP202310251603469078_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
31,300395,菲利华,2023年三季报点评：1~3Q23利润增长10% ；多型高性能复材放量在即,买入,民生证券,0,,,,,,,航空装备Ⅱ,2023-10-25,https://pdf.dfcfw.com/pdf/H3_AP202310251603480914_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
70,600176,中国巨石,2023年三季报点评：粗纱景气继续下探，电子布盈利改善可期,买入,东吴证券,0,,,,,,,玻璃玻纤,2023-10-24,https://pdf.dfcfw.com/pdf/H3_AP202310241602938008_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
71,600176,中国巨石,2023年三季报点评：粗纱行业底部竞争加剧，电子布具备涨价条件,买入,民生证券,0,,,,,,,玻璃玻纤,2023-10-24,https://pdf.dfcfw.com/pdf/H3_AP202310241602905056_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
18,002080,中材科技,启动玻纤冷修改造，业绩符合预期,买入,国金证券,0,,,,,,,玻璃玻纤,2023-10-24,https://pdf.dfcfw.com/pdf/H3_AP202310241602902395_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
18,601208,东材科技,公司信息更新报告：扣非净利润持续改善，电子树脂和光学膜放量可期,买入,开源证券,0,,,,,,,塑料,2023-10-20,https://pdf.dfcfw.com/pdf/H3_AP202310201602164267_1.pdf,电子树脂（特种树脂）,主要参与者
19,601208,东材科技,环比持续修复，看好中高端产品放量,买入,国金证券,0,,,,,,,塑料,2023-10-19,https://pdf.dfcfw.com/pdf/H3_AP202310191602093270_1.pdf,电子树脂（特种树脂）,主要参与者
1,600110,诺德股份,动态点评：加工费下行盈利承压，加码布局复合集流体,买入,东吴证券,0,,,,,,,电池,2023-10-06,https://pdf.dfcfw.com/pdf/H3_AP202310051600909012_1.pdf,电子铜箔,主要参与者
36,600183,生益科技,Expect modest sequential growth in 2H23,持有,招银国际,0,,,,,,,元件,2023-09-22,https://pdf.dfcfw.com/pdf/H3_AP202309221599702360_1.pdf,核心CCL,龙头
3,300586,美联新材,色母粒三聚氯氰好转向上，钠电普鲁士材料加速推进,买入,华安证券,0,,,,,,,塑料,2023-08-30,https://pdf.dfcfw.com/pdf/H3_AP202308301596816033_1.pdf,电子树脂（特种树脂）,碳氢树脂参与者
7,603256,宏和科技,行业均价触底回升，期待量增与价格弹性共振,增持,中银证券,0,,,,,,,玻璃玻纤,2023-08-28,https://pdf.dfcfw.com/pdf/H3_AP202308281595911513_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
34,605589,圣泉集团,2023年半年报点评：业绩符合预期，电子树脂和生物质项目成亮点,买入,民生证券,0,,,,,,,塑料,2023-08-27,https://pdf.dfcfw.com/pdf/H3_AP202308271595902014_1.pdf,电子树脂（特种树脂）,主要参与者
19,002080,中材科技,叶片盈利向好，锂膜持续放量，玻纤景气筑底,买入,国信证券,0,,,,,,,玻璃玻纤,2023-08-23,https://pdf.dfcfw.com/pdf/H3_AP202308231595540099_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
32,300395,菲利华,2023年中报点评：半导体行业复苏，营收进一步增长,买入,东吴证券,0,,,,,,,航空装备Ⅱ,2023-08-21,https://pdf.dfcfw.com/pdf/H3_AP202308201595380771_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
73,600176,中国巨石,2023年中报点评：销量逆势增长巩固龙头优势，业绩略超此前预告,买入,国信证券,0,,,,,,,玻璃玻纤,2023-08-21,https://pdf.dfcfw.com/pdf/H3_AP202308211595388553_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
72,600176,中国巨石,2023Q2业绩环比改善，玻纤价格持续磨底,买入,中银证券,0,,,,,,,玻璃玻纤,2023-08-21,https://pdf.dfcfw.com/pdf/H3_AP202308211595389495_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
20,002080,中材科技,叶片锂膜利润增速较高，玻纤业务仍承压,买入,中银证券,0,,,,,,,玻璃玻纤,2023-08-21,https://pdf.dfcfw.com/pdf/H3_AP202308211595389504_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
37,600183,生益科技,公司信息更新报告：上半年业绩短期承压，高端产品赋予长期发展动力,买入,开源证券,0,,,,,,,元件,2023-08-21,https://pdf.dfcfw.com/pdf/H3_AP202308211595391032_1.pdf,核心CCL,龙头
74,600176,中国巨石,2023年中报点评：景气低位彰显结构和成本优势，供需平衡修复奠定盈利向上基础,买入,东吴证券,0,,,,,,,玻璃玻纤,2023-08-20,https://pdf.dfcfw.com/pdf/H3_AP202308191595376442_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
33,300395,菲利华,业绩保持较快增长，产业链不断延伸蓄势待发,买入,中邮证券,0,,,,,,,航空装备Ⅱ,2023-08-19,https://pdf.dfcfw.com/pdf/H3_AP202308191595377334_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
21,002080,中材科技,2023年半年报点评：隔膜单平净利再超预期，叶片盈利能力向好、玻纤继续筑底,买入,民生证券,0,,,,,,,玻璃玻纤,2023-08-19,https://pdf.dfcfw.com/pdf/H3_AP202308191595090713_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
75,600176,中国巨石,2023年半年报点评：利润略高于业绩快报，行业底部静待拐点,买入,民生证券,0,,,,,,,玻璃玻纤,2023-08-19,https://pdf.dfcfw.com/pdf/H3_AP202308191595090711_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
21,601208,东材科技,整体弱复苏 看好中高端产品放量,买入,国金证券,0,,,,,,,塑料,2023-08-18,https://pdf.dfcfw.com/pdf/H3_AP202308181595065150_1.pdf,电子树脂（特种树脂）,主要参与者
22,002080,中材科技,叶片隔膜盈利提高，业绩符合预期,买入,国金证券,0,,,,,,,玻璃玻纤,2023-08-18,https://pdf.dfcfw.com/pdf/H3_AP202308181595065361_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
34,300395,菲利华,2023年中报点评：下游需求景气驱动；2Q23营收/利润创历史新高,买入,民生证券,0,,,,,,,航空装备Ⅱ,2023-08-18,https://pdf.dfcfw.com/pdf/H3_AP202308181595059095_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
20,601208,东材科技,公司信息更新报告：扣非净利润环比改善，项目建设及产品验证有条不紊,买入,开源证券,0,,,,,,,塑料,2023-08-18,https://pdf.dfcfw.com/pdf/H3_AP202308181595067700_1.pdf,电子树脂（特种树脂）,主要参与者
35,605589,圣泉集团,深度报告：生物质项目全线贯通，电子级聚苯醚增长可期,买入,民生证券,0,,,,,,,塑料,2023-08-07,https://pdf.dfcfw.com/pdf/H3_AP202308061593394270_1.pdf,电子树脂（特种树脂）,主要参与者
2,301511,德福科技,新股覆盖研究：德福科技,,华金证券,0,,,,,,,电池,2023-07-26,https://pdf.dfcfw.com/pdf/H3_AP202307261592661725_1.pdf,电子铜箔,主要参与者
8,603256,宏和科技,景气度触底，关注高端需求,增持,中银证券,0,,,,,,,玻璃玻纤,2023-07-21,https://pdf.dfcfw.com/pdf/H3_AP202307201592511800_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
76,600176,中国巨石,2023年半年度业绩预减公告点评：底部特征明确，风电需求驱动,买入,民生证券,0,,,,,,,玻璃玻纤,2023-07-13,https://pdf.dfcfw.com/pdf/H3_AP202307121592222630_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
77,600176,中国巨石,Q2扣非环比高增，龙头结构优势凸显,买入,中银证券,0,,,,,,,玻璃玻纤,2023-07-12,https://pdf.dfcfw.com/pdf/H3_AP202307121592210841_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
8,301217,铜冠铜箔,领军国内高端铜箔，下游需求持续攀升,买入,中邮证券,0,,,,,,,电池,2023-07-04,https://pdf.dfcfw.com/pdf/H3_AP202307041592025151_1.pdf,电子铜箔,国内龙头
4,300586,美联新材,普鲁士钠电储能首获示范应用，产业化加速储能市场前景广阔,买入,华安证券,0,,,,,,,塑料,2023-07-03,https://pdf.dfcfw.com/pdf/H3_AP202307031591994896_1.pdf,电子树脂（特种树脂）,碳氢树脂参与者
23,002080,中材科技,叶片整合方案落地，国内市占率向50%迈进,买入,中银证券,0,,,,,,,玻璃玻纤,2023-06-16,https://pdf.dfcfw.com/pdf/H3_AP202306161591019511_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
35,300395,菲利华,事件点评：高纯石英砂项目顺利进行 市场需求旺盛带动产能提升,增持,国元证券,0,,,,,,,航空装备Ⅱ,2023-06-06,https://pdf.dfcfw.com/pdf/H3_AP202306061590443494_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
36,605589,圣泉集团,圣泉集团公司深度研究报告：全球合成树脂龙头，钠电池负极打开成长空间,买入,太平洋,0,,,,,,,塑料,2023-05-26,https://pdf.dfcfw.com/pdf/H3_AP202305261587296314_1.pdf,电子树脂（特种树脂）,主要参与者
1,603186,华正新材,CBF材料阶段性突破，CCL周期修复可期,买入,华安证券,0,,,,,,,元件,2023-05-19,https://pdf.dfcfw.com/pdf/H3_AP202305191586978214_1.pdf,核心CCL,主要参与者
3,688388,嘉元科技,年报业绩符合预期，23Q1业绩下滑,增持,中银证券,0,,,,,,,电池,2023-05-07,https://pdf.dfcfw.com/pdf/H3_AP202305071586345407_1.pdf,电子铜箔,主要参与者
5,300586,美联新材,传统业务业绩承压，钠电+隔膜业务放量在即,买入,华安证券,0,,,,,,,塑料,2023-05-05,https://pdf.dfcfw.com/pdf/H3_AP202305051586286924_1.pdf,电子树脂（特种树脂）,碳氢树脂参与者
22,601208,东材科技,公司信息更新报告：业绩符合预期，盈利能力环比改善,买入,开源证券,0,,,,,,,塑料,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305041586265137_1.pdf,电子树脂（特种树脂）,主要参与者
24,002080,中材科技,2023年一季报点评：玻纤盈利见底、叶片向好，重点关注锂膜成长性,买入,民生证券,0,,,,,,,玻璃玻纤,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305041586246214_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
38,600183,生益科技,公司信息更新报告：2023Q1覆铜板业务稳健，高端产品持续精进,买入,开源证券,0,,,,,,,元件,2023-05-04,https://pdf.dfcfw.com/pdf/H3_AP202305041586231800_1.pdf,核心CCL,龙头
25,002080,中材科技,玻纤业务继续筑底，叶片、隔膜值得期待,买入,西南证券,0,,,,,,,玻璃玻纤,2023-04-29,https://pdf.dfcfw.com/pdf/H3_AP202304291586131955_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
9,603256,宏和科技,业绩承压，静待复苏,增持,中银证券,0,,,,,,,玻璃玻纤,2023-04-29,https://pdf.dfcfw.com/pdf/H3_AP202304291586122598_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
36,300395,菲利华,2023年一季报点评：1Q23营收增长34%；下游景气度持续上行,买入,民生证券,0,,,,,,,航空装备Ⅱ,2023-04-28,https://pdf.dfcfw.com/pdf/H3_AP202304281586064360_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
78,600176,中国巨石,2023年一季报点评：23Q1单位净利见底，趋势逐月向好,买入,民生证券,0,,,,,,,玻璃玻纤,2023-04-28,https://pdf.dfcfw.com/pdf/H3_AP202304281586064331_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
38,300395,菲利华,2022年年报点评：22年业绩增长32%；加快业务布局产能快速提升,买入,民生证券,0,,,,,,,航空装备Ⅱ,2023-04-23,https://pdf.dfcfw.com/pdf/H3_AP202304231585725110_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
37,300395,菲利华,2022年年报点评：归母同增32%，全面布局石英材料领域,买入,东吴证券,0,,,,,,,航空装备Ⅱ,2023-04-23,https://pdf.dfcfw.com/pdf/H3_AP202304231585726334_1.pdf,电子玻纤布（含石英布 Q 布）,主要参与者
